14:56:23.0,49:37:43
14:59:36.9,39:15:55
15:1:56.8,40:23:26
15:3:47.4,47:39:16
15:5:25.8,48:9:4
15:22:37.4,39:34:53
15:30:55.8,40:49:59
15:31:47.0,40:53:58
15:37:49.6,40:21:12
15:38:16.2,46:47:52
14:17:59.8,35:30:34
14:31:49.8,30:22:17
14:32:4.7,38:18:30
14:34:40.8,29:44:42
14:49:58.4,28:36:57
14:50:29.6,37:16:19
15:3:6.1,35:12:21
15:14:6.1,31:47:17
15:14:29.2,29:9:51
15:15:30.2,33:18:53
15:21:48.6,32:56:2
15:24:29.4,37:22:38
15:26:17.4,34:20:9
13:36:59.1,24:36:48
13:40:40.5,19:57:20
13:41:2.3,22:29:45
13:46:43.3,25:42:8
13:47:15.7,17:27:24
13:49:42.8,21:15:51
13:53:12.9,17:55:58
13:54:41.1,18:23:52
13:56:34.2,27:29:31
13:58:38.9,21:41:46
14:10:23.9,25:5:30
14:15:39.7,19:10:57
14:16:4.2,18:54:43
14:26:27.4,19:13:37
14:32:32.5,22:15:36
14:38:14.0,18:17:54
14:43:25.4,26:31:40
14:44:59.2,27:4:30
14:44:59.2,27:4:27
14:50:15.8,23:54:43
14:51:23.3,19:6:4
15:2:6.5,25:0:29
15:4:26.7,26:56:51
15:7:18.1,24:52:9
15:8:23.8,26:18:4
15:8:35.5,25:6:31
13:39:34.6,10:44:46
13:49:28.6,15:47:52
14:1:20.4,8:53:41
14:14:5.2,12:57:34
14:14:50.8,10:6:2
14:17:28.4,15:15:48
14:19:16.3,13:0:15
14:19:45.2,16:18:25
14:23:22.7,8:26:48
14:24:0.9,8:14:37
14:40:42.4,13:32:3
14:40:43.6,16:25:6
14:40:43.9,16:25:4
14:41:8.9,13:43:42
14:41:8.9,13:43:42
14:41:38.8,8:9:42
14:41:43.5,11:39:38
14:45:14.5,16:57:52
14:46:6.0,15:7:55
14:56:13.2,14:26:47
14:57:11.7,16:23:18
4:33:30.7,72:31:43
5:4:39.8,74:4:1
5:12:22.4,73:56:48
5:18:13.3,73:16:5
5:22:33.5,79:13:52
6:40:28.8,77:59:45
6:46:14.1,79:33:53
7:0:4.0,76:58:39
7:31:4.4,82:24:41
8:0:11.7,73:55:5
8:4:47.1,79:28:47
8:19:32.2,75:45:25
10:29:41.5,84:15:8
10:31:4.6,82:33:31
12:5:15.1,76:54:21
12:12:11.9,77:36:59
12:49:6.6,83:25:5
12:49:13.6,83:24:46
13:26:56.7,78:38:38
13:42:23.1,82:45:9
3:19:59.4,65:39:8
3:24:40.5,64:35:10
3:42:9.3,63:13:0
3:46:0.9,67:12:6
3:46:2.3,63:20:42
3:49:13.8,70:52:16
3:50:21.5,71:19:56
3:49:31.2,65:31:34
3:49:36.7,63:17:50
3:57:25.5,63:4:20
3:57:8.3,61:6:32
4:6:3.1,68:40:48
4:16:53.6,61:51:1
4:20:40.3,65:8:26
4:36:24.2,64:15:42
4:52:5.2,63:30:19
4:54:3.0,66:20:34
5:20:22.6,62:39:13
5:30:10.2,63:4:2
5:42:26.4,65:41:52
6:12:51.1,65:43:6
6:18:50.8,69:19:11
6:28:14.6,70:32:8
6:40:32.2,71:44:56
6:50:57.1,67:34:19
6:53:42.2,68:53:18
7:1:21.5,70:48:29
7:30:52.7,68:27:56
7:46:40.1,65:27:21
3:29:4.1,59:56:25
3:29:54.9,58:52:43
3:30:0.2,55:27:7
3:33:39.0,54:58:29
3:42:42.7,59:58:10
3:53:43.3,57:58:30
4:4:27.2,59:9:20
4:17:8.2,57:51:38
4:16:43.1,53:36:43
4:21:47.6,60:44:8
4:21:51.8,56:30:24
4:32:1.8,53:54:39
4:39:58.1,53:28:23
4:39:54.7,53:4:47
4:48:0.3,56:45:26
4:55:3.1,55:15:33
4:56:7.1,52:52:10
4:57:17.2,53:45:8
5:3:25.1,60:26:32
5:6:8.5,58:58:21
5:23:27.8,57:32:40
5:46:30.4,56:6:56
5:54:57.8,59:53:18
6:9:59.1,58:56:9
6:15:40.6,59:59:57
20:12:25.9,-12:37:3
20:17:38.9,-12:30:30
20:18:3.3,-12:32:41
20:20:39.8,-12:45:33
20:21:0.7,-14:46:53
20:32:23.7,-9:51:12
20:39:16.4,-14:57:17
20:40:32.5,-16:7:27
20:57:40.6,-16:1:54
21:15:44.9,-15:10:17
21:22:14.8,-16:50:4
21:40:5.5,-16:39:44
21:41:32.9,-14:2:51
21:43:4.4,-14:23:59
21:44:1.0,-14:44:58
21:45:0.3,-9:4:57
21:46:32.1,-11:21:57
21:47:2.4,-16:7:38
21:53:17.8,-13:33:6
20:15:17.4,-27:1:58
20:18:1.4,-21:48:36
20:19:23.6,-19:7:7
20:27:19.2,-18:12:42
20:28:51.6,-17:48:49
20:29:53.9,-18:35:0
20:40:3.0,-18:8:19
20:46:5.7,-25:16:15
20:46:10.0,-21:30:51
20:49:17.6,-25:46:53
20:51:49.3,-26:55:9
20:54:47.9,-17:55:23
20:56:47.3,-26:17:47
21:4:24.3,-19:51:18
21:5:56.8,-17:13:58
21:7:7.7,-25:0:21
21:8:33.6,-21:11:37
21:15:37.9,-20:39:6
21:17:57.3,-17:59:7
21:23:0.5,-22:40:8
21:24:9.6,-20:51:7
21:26:40.0,-22:24:41
21:27:14.8,-21:11:46
21:28:43.4,-21:48:26
21:34:51.0,-20:5:4
21:37:4.8,-19:27:58
21:42:0.8,-23:15:46
21:42:39.5,-18:51:59
0:45:39.0,74:59:17
0:47:46.1,74:50:51
0:48:9.1,72:40:30
1:38:30.9,73:2:24
2:5:7.4,77:16:53
2:5:31.2,76:6:54
2:38:2.0,72:49:6
3:11:56.3,74:23:37
0:1:36.9,61:13:23
0:2:36.1,66:5:56
0:4:13.6,62:17:16
0:5:6.2,61:18:51
0:6:26.5,64:11:46
0:16:57.1,61:32:0
0:24:47.5,61:49:52
0:33:0.0,62:55:54
23:24:50.3,62:16:58
23:48:50.2,62:12:52
0:42:3.4,66:8:51
0:50:43.6,64:14:51
0:53:4.1,61:7:27
0:58:31.1,66:21:8
1:3:37.0,61:4:30
1:4:19.6,61:34:49
1:10:39.3,68:46:43
1:11:25.6,64:12:10
1:11:41.4,65:1:8
1:25:56.0,68:7:48
1:31:13.8,70:15:53
1:42:20.5,68:2:35
1:42:55.9,70:37:21
1:47:44.8,63:51:8
1:54:23.7,63:40:12
1:56:0.0,68:41:7
1:59:38.0,64:37:17
2:1:57.4,70:54:25
2:3:26.1,72:25:17
2:3:0.3,64:23:24
2:29:4.0,67:24:9
2:37:36.1,65:44:44
2:44:49.7,67:49:29
2:51:58.7,68:53:19
2:55:56.9,61:31:16
3:7:19.0,64:3:28
0:6:16.0,58:26:12
0:9:10.7,59:8:59
0:24:15.6,52:1:12
0:25:6.4,53:2:49
23:30:2.0,58:32:56
23:47:3.5,58:39:7
23:47:1.9,57:27:5
23:54:23.0,57:29:58
23:57:8.5,55:42:21
23:58:24.8,51:23:19
23:59:0.5,55:45:18
0:30:19.9,59:58:38
0:31:46.4,54:31:20
0:31:41.2,52:50:22
0:33:10.4,54:53:42
0:36:8.3,54:10:7
0:36:27.3,60:19:34
0:36:58.3,53:53:49
0:40:30.5,56:32:14
0:42:3.9,50:30:45
0:45:17.2,55:13:18
0:49:6.0,57:48:57
0:48:50.1,50:58:6
0:55:0.1,58:58:22
0:56:42.5,60:43:0
0:56:39.8,59:10:52
0:56:47.1,60:21:46
1:4:2.4,52:30:8
1:8:16.4,54:55:13
1:8:33.3,58:15:49
1:11:6.2,55:8:59
1:20:4.9,58:13:54
1:25:49.0,60:14:7
1:33:25.8,58:19:39
1:33:55.9,59:13:55
1:38:7.6,57:58:39
1:43:19.7,60:33:4
23:0:5.1,56:56:43
23:6:36.9,59:25:11
23:9:44.1,59:19:59
23:13:17.0,57:10:6
23:16:42.3,53:12:49
23:22:32.5,60:8:1
0:17:9.1,47:56:51
0:39:9.9,49:21:16
0:43:28.1,47:1:29
0:44:26.4,47:51:51
0:44:43.5,48:17:4
1:8:44.7,86:15:25
3:32:20.1,84:54:40
4:10:1.5,86:37:34
7:40:30.5,87:1:12
22:13:10.6,86:6:29
22:51:2.2,85:22:25
23:27:0.8,87:18:27
0:54:53.1,83:42:26
23:14:37.3,74:13:52
23:39:10.4,75:17:34
23:39:21.1,74:0:10
23:39:20.8,77:37:57
1:12:16.7,79:40:26
2:47:47.6,81:26:54
3:6:7.8,79:25:7
3:11:42.8,81:28:14
3:20:19.7,77:44:5
4:10:2.8,80:41:55
4:28:13.0,83:48:28
4:30:0.1,83:20:26
4:27:2.8,80:49:27
5:0:20.7,81:11:38
20:8:53.3,77:42:41
21:5:29.3,78:7:35
21:15:42.2,77:0:44
21:24:49.7,80:31:29
21:59:15.0,73:10:48
22:26:42.5,78:47:9
22:29:52.9,78:49:27
22:32:16.2,76:13:35
22:35:46.1,73:38:35
22:37:13.0,75:22:18
22:47:29.0,83:9:14
22:54:24.8,84:20:46
23:7:53.9,75:23:15
0:4:42.0,67:10:0
23:27:16.6,70:21:35
23:34:59.0,71:38:32
23:46:36.7,66:46:56
23:47:54.8,67:48:25
20:29:34.9,62:59:39
20:43:11.0,66:39:27
20:45:17.4,61:50:20
21:6:23.3,71:25:55
21:18:34.8,62:35:8
21:19:22.2,64:52:19
21:27:46.1,66:48:33
21:28:39.6,70:33:39
21:37:55.2,62:4:55
21:41:55.3,71:18:41
21:43:4.0,72:19:13
21:44:53.3,62:27:38
21:45:26.9,61:7:15
21:55:31.1,65:19:15
21:56:39.1,63:37:32
21:58:53.4,62:41:54
22:3:52.9,63:7:11
22:3:47.4,64:37:40
22:5:0.5,62:47:8
22:5:8.9,62:16:48
22:9:48.4,72:20:28
22:10:38.9,70:7:58
22:12:22.3,63:17:29
22:18:12.7,62:48:16
22:26:0.8,70:46:15
22:27:5.3,65:7:56
22:38:39.0,63:35:4
22:49:40.8,66:12:2
22:51:22.8,61:41:49
23:3:32.9,67:12:33
